"country","Year","Population","pop_100k"
"Afghanistan",2020,38928341,389.28341
"Africa",2020,1340598111,13405.98111
"Albania",2020,2877800,28.778
"Algeria",2020,43851043,438.51043
"American Samoa",2020,55197,0.55197
"Andorra",2020,77265,0.77265
"Angola",2020,32866267,328.66267
"Anguilla",2020,15002,0.15002
"Antigua and Barbuda",2020,97928,0.97928
"Argentina",2020,45195777,451.95777
"Armenia",2020,2963234,29.63234
"Aruba",2020,106766,1.06766
"Asia",2020,4639847425,46398.47425
"Australia",2020,25499881,254.99881
"Austria",2020,9006400,90.064
"Azerbaijan",2020,10139175,101.39175
"Bahamas",2020,393248,3.93248
"Bahrain",2020,1701583,17.01583
"Bangladesh",2020,164689383,1646.89383
"Barbados",2020,287371,2.87371
"Belarus",2020,9449321,94.49321
"Belgium",2020,11589616,115.89616
"Belize",2020,397621,3.97621
"Benin",2020,12123198,121.23198
"Bermuda",2020,62273,0.62273
"Bhutan",2020,771612,7.71612
"Bolivia",2020,11673029,116.73029
"Bonaire Sint Eustatius and Saba",2020,26221,0.26221
"Bosnia and Herzegovina",2020,3280815,32.80815
"Botswana",2020,2351625,23.51625
"Brazil",2020,212559409,2125.59409
"British Virgin Islands",2020,30237,0.30237
"Brunei",2020,437483,4.37483
"Bulgaria",2020,6948445,69.48445
"Burkina Faso",2020,20903278,209.03278
"Burundi",2020,11890781,118.90781
"Cambodia",2020,16718971,167.18971
"Cameroon",2020,26545864,265.45864
"Canada",2020,37742157,377.42157
"Cabo Verde",2020,555988,5.55988
"Cayman Islands",2020,65720,0.6572
"Central African Republic",2020,4829764,48.29764
"Chad",2020,16425859,164.25859
"Channel Islands",2020,173859,1.73859
"Chile",2020,19116209,191.16209
"China",2020,1439323774,14393.23774
"Colombia",2020,50882884,508.82884
"Comoros",2020,869595,8.69595
"Congo",2020,5518092,55.18092
"Cook Islands",2020,17564,0.17564
"Costa Rica",2020,5094114,50.94114
"Cote d'Ivoire",2020,26378275,263.78275
"Croatia",2020,4105268,41.05268
"Cuba",2020,11326616,113.26616
"Curacao",2020,164100,1.641
"Cyprus",2020,1207361,12.07361
"Czech Republic",2020,10708982,107.08982
